method,endpoint,file
POST,/api/translate,archive\api-server-enhanced.js
POST,/api/detect-language,archive\api-server-enhanced.js
GET,/api/suggestions/:language,archive\api-server-enhanced.js
POST,/api/ai/train-model,archive\api-server-enhanced.js
POST,/api/ai/vector-search,archive\api-server-enhanced.js
GET,/api/ai/orchestrator/status,archive\api-server-enhanced.js
POST,/api/ai/audio-corpus,archive\api-server-enhanced.js
POST,/api/languages/activate,archive\api-server-enhanced.js
POST,/api/languages/extend,archive\api-server-enhanced.js
POST,/api/semantic/search,archive\api-server-enhanced.js
GET,/api/community/corpus/stats,archive\api-server-enhanced.js
POST,/api/analytics/track,archive\api-server-enhanced.js
GET,/api/health,archive\api-server-enhanced.js
GET,/,archive\api-server-enhanced.js
POST,/api/activation/global,archive\api-server-enhanced.js
GET,/api/learning/classrooms,archive\api-server-enhanced.js
GET,/api/learning/teachers,archive\api-server-enhanced.js
POST,/api/learning/enroll,archive\api-server-enhanced.js
POST,/api/learning/session/start,archive\api-server-enhanced.js
GET,/api/learning/session/active/:classroomId,archive\api-server-enhanced.js
POST,/api/learning/session/join,archive\api-server-enhanced.js
POST,/api/learning/assignment/create,archive\api-server-enhanced.js
GET,/api/learning/progress/:studentId/:classroomId,archive\api-server-enhanced.js
GET,/api/learning/stats/:classroomId,archive\api-server-enhanced.js
GET,/api/payment/methods,archive\api-server-enhanced.js
POST,/api/payment/intent,archive\api-server-enhanced.js
POST,/api/payment/confirm,archive\api-server-enhanced.js
POST,/api/payment/subscribe,archive\api-server-enhanced.js
GET,/api/payment/subscriptions,archive\api-server-enhanced.js
POST,/api/payment/subscription/:subscriptionId/cancel,archive\api-server-enhanced.js
POST,/api/payment/refund,archive\api-server-enhanced.js
GET,/api/payment/stats,archive\api-server-enhanced.js
GET,/api/payment/currencies,archive\api-server-enhanced.js
POST,/api/payment/convert,archive\api-server-enhanced.js
GET,/api/competitive-analysis/integration-status,archive\api-server-enhanced.js
POST,/api/competitive-analysis/analyze,archive\api-server-enhanced.js
POST,/api/competitive-analysis/activate-openai,archive\api-server-enhanced.js
GET,/api/competitive-analysis/benchmark,archive\api-server-enhanced.js
POST,/api/openai/translate,archive\api-server-enhanced.js
POST,/api/openai/speech-to-text,archive\api-server-enhanced.js
POST,/api/openai/generate-lesson,archive\api-server-enhanced.js
GET,/api/openai/status,archive\api-server-enhanced.js
POST,/detect-variant,archive\api-server-enhanced.js
POST,/check-variant-consistency,archive\api-server-enhanced.js
POST,/translate-advanced,archive\api-server-enhanced.js
GET,/api/health,archive\api-server-production.js
GET,/api/languages,archive\api-server-production.js
POST,/api/translate,archive\api-server-production.js
POST,/api/contribute/audio,archive\api-server-production.js
POST,/api/contribute/text,archive\api-server-production.js
GET,/api/analytics/overview,archive\api-server-production.js
POST,/api/translate,archive\api-server-simple-backup.js
POST,/api/detect-language,archive\api-server-simple-backup.js
GET,/api/suggestions/:language,archive\api-server-simple-backup.js
POST,/api/ai/train-model,archive\api-server-simple-backup.js
POST,/api/ai/vector-search,archive\api-server-simple-backup.js
GET,/api/ai/orchestrator/status,archive\api-server-simple-backup.js
POST,/api/ai/audio-corpus,archive\api-server-simple-backup.js
POST,/api/languages/activate,archive\api-server-simple-backup.js
POST,/api/languages/extend,archive\api-server-simple-backup.js
POST,/api/semantic/search,archive\api-server-simple-backup.js
GET,/api/community/corpus/stats,archive\api-server-simple-backup.js
POST,/api/analytics/track,archive\api-server-simple-backup.js
GET,/api/health,archive\api-server-simple-backup.js
GET,/,archive\api-server-simple-backup.js
POST,/api/activation/global,archive\api-server-simple-backup.js
GET,/api/learning/classrooms,archive\api-server-simple-backup.js
GET,/api/learning/teachers,archive\api-server-simple-backup.js
POST,/api/learning/enroll,archive\api-server-simple-backup.js
POST,/api/learning/session/start,archive\api-server-simple-backup.js
GET,/api/learning/session/active/:classroomId,archive\api-server-simple-backup.js
POST,/api/learning/session/join,archive\api-server-simple-backup.js
POST,/api/learning/assignment/create,archive\api-server-simple-backup.js
GET,/api/learning/progress/:studentId/:classroomId,archive\api-server-simple-backup.js
GET,/api/learning/stats/:classroomId,archive\api-server-simple-backup.js
