id,name,spk_code,spk_age,spk_age_c,spk_sex,rec_date,rec_date_c,genre,genre_stim,gloss,transl,sound_quality,background_noise,word_tokens,word_tokens_core,extended
T002,YUC-TXT-AN-00000-02,2,42,certain,f,2015,certain,personal narrative,na,none,Spanish,good,none,875,875,no
T004,YUC-TXT-AN-00000-04,4,32,certain,f,2015,certain,personal narrative,na,none,Spanish,good,none,1295,1295,no
T036,YUC-TXT-BO-00000-22,22,23,certain,f,2015,certain,traditional narrative,na,none,Spanish,medium,constant,1436,1436,no
T037,YUC-TXT-BO-00000-23,23,45,certain,m,2015,certain,traditional narrative,na,none,Spanish,good,constant,1179,1179,no
T048,YUC-TXT-CD-00000-12,12,38,certain,f,2015,certain,procedural,na,none,Spanish,good,constant,902,902,no
T062,YUC-TXT-CH-00000-04,4,32,certain,f,2015,certain,procedural,na,none,Spanish,good,none,955,955,no
T084,YUC-TXT-CO-00000-04,4,32,certain,f,2015,certain,procedural,na,none,Spanish,good,none,888,876,no
T090,YUC-TXT-CO-00000-12,12,38,certain,f,2015,certain,procedural,na,none,Spanish,good,constant,1092,1092,no
T103,YUC-TXT-CO-00000-25,25,44,certain,f,2015,certain,procedural,na,none,Spanish,medium,none,1349,1349,no
T106,YUC-TXT-PA-00000-04,4,32,certain,f,2015,certain,procedural,na,none,Spanish,good,none,886,886,no
